Reg	Reg_correct	Operator	Operator_correct
NULL	NULL	00B8196	UV0000
NULL	NULL	108	UV0108
NULL	NULL	22GV	VOE22GV
NULL	NULL	355F	TVF355F
NULL	NULL	36R	AEA1517
NULL	NULL	3AMGA	UPA3AMG
NULL	NULL	3CLLU	2X0000
NULL	NULL	4OMNE	UVS
NULL	NULL	7402	N47402
NULL	NULL	7TVNC	UVS1
NULL	NULL	7TVNM	XA0001
NULL	NULL	8416	EZY579Z
NULL	NULL	991	4Y0991
NULL	NULL	9HFLN	XA0000
NULL	NULL	9HIII	XA0000
NULL	NULL	9HIRA	XA0000
NULL	NULL	9HJGR	XD0001
NULL	NULL	A6EDK	EK1
NULL	NULL	A6EOP	EK152
NULL	NULL	A7HHJ	QAF7HHJ
NULL	NULL	AAAF750	AAF750
NULL	NULL	AAB233	UPA
NULL	NULL	AAB360	UPA49
NULL	NULL	AAB959	GCR49
NULL	NULL	AAF018T	AAF18T
NULL	NULL	AAF221	AAF258
NULL	NULL	AAF222	AAF273G
NULL	NULL	AAF222F	ZI222
NULL	NULL	AAF224	AAF232
NULL	NULL	AAF231	AAF703
NULL	NULL	AAF235	AAF274G
NULL	NULL	AAF235Q	AAF259
NULL	NULL	AAF236Q	AAF274G
NULL	NULL	AAF241	AAF273G
NULL	NULL	AAF255	AAF273G
NULL	NULL	AAF256	AAF222
NULL	NULL	AAF257	AAF946
NULL	NULL	AAF258	AAF221
NULL	NULL	AAF259	AAF750
NULL	NULL	AAF259F	ZI259
NULL	NULL	AAF260	AAF223
NULL	NULL	AAF261B	ZI261
NULL	NULL	AAF262B	ZI262
NULL	NULL	AAF263K	ZI263
NULL	NULL	AAF264F	ZI264
NULL	NULL	AAF264K	ZI264
NULL	NULL	AAF273	AAF704
NULL	NULL	AAF273G	ZI273
NULL	NULL	AAF274	AAF258
NULL	NULL	AAF274G	AAF223
NULL	NULL	AAF287L	ZI287
NULL	NULL	AAF288L	ZI288
NULL	NULL	AAF302A	ZI302
NULL	NULL	AAF308C	ZI308
NULL	NULL	AAF311R	ZI311
NULL	NULL	AAF312R	ZI312
NULL	NULL	AAF315D	ZI315
NULL	NULL	AAF316D	ZI316
NULL	NULL	AAF372	AAF221
NULL	NULL	AAF459F	AAF274G
NULL	NULL	AAF459S	ZI459
NULL	NULL	AAF460S	ZI460
NULL	NULL	AAF465	AAF460S
NULL	NULL	AAF466	AAF
NULL	NULL	AAF521H	ZI521
NULL	NULL	AAF522H	ZI522
NULL	NULL	AAF533	AAF223
NULL	NULL	AAF534	AAF791
NULL	NULL	AAF703	AAF231
NULL	NULL	AAF704	AAF784
NULL	NULL	AAF717	AAF259
NULL	NULL	AAF718	AAF256
NULL	NULL	AAF720	AAF719
NULL	NULL	AAF743	AAF224
NULL	NULL	AAF744	AAF743
NULL	NULL	AAF749	AAF222
NULL	NULL	AAF749F	VOE13QY
NULL	NULL	AAF750	AAF274G
NULL	NULL	AAF755F	ZI755
NULL	NULL	AAF759	AAF765N
NULL	NULL	AAF765M	ZI765
NULL	NULL	AAF765N	ZI765
NULL	NULL	AAF766M	ZI766
NULL	NULL	AAF766N	ZI766
NULL	NULL	AAF784	AAF288L
NULL	NULL	AAF784M	ZI784
NULL	NULL	AAF785M	AAF
NULL	NULL	AAF786	AAF785M
NULL	NULL	AAF791	AAF241
NULL	NULL	AAF792	AAF765N
NULL	NULL	AAF811	AAF371
